player_name,poss,mp,raptor_offense,raptor_defense,raptor_total
Maxi Kleber,1915,930,-3.038947036,-0.069613741,-3.108560778
Nathan Knight,655,296,-2.353762319,-1.865911792,-4.219674111
Kevin Knox II,2062,952,-2.638547231,-2.639720033,-5.278267263
Christian Koloko,1680,802,-2.838707001,2.313049376,-0.525657626
John Konchar,3305,1543,-0.949175358,3.332749421,2.383574062
Furkan Korkmaz,780,364,-3.086967385,0.036635559,-3.050331826
Luke Kornet,1760,836,-0.337332755,2.128805092,1.791472337
Vit Krejci,347,165,-2.199802976,-1.439053778,-3.638856754
Jonathan Kuminga,3121,1455,-2.615176779,0.018799393,-2.596377387
Kyle Kuzma,4683,2239,-1.01795863,0.513366453,-0.504592177
Anthony Lamb,2618,1226,-1.138260618,2.10385846,0.965597842
Jock Landale,2308,1092,-0.657571402,3.166652678,2.509081277
Romeo Langford,1822,844,-2.10068164,0.643136502,-1.457545138
Jake LaRavia,883,414,-3.061455942,-1.147080017,-4.208535959
Zach LaVine,5749,2768,2.283245997,-1.11912946,1.164116538
A.J. Lawson,239,108,-2.956494554,-3.911646973,-6.868141527
Damion Lee,3353,1595,-1.235758505,0.692471782,-0.543286723
Saben Lee,805,373,-2.647087199,0.683186767,-1.963900432
Alex Len,482,215,-4.167464954,3.945329445,-0.22213551
Kawhi Leonard,3760,1828,4.906030984,1.865048206,6.771079189
Meyers Leonard,256,119,-1.387016328,-6.761392704,-8.148409033
Caris LeVert,4880,2407,-0.405907308,1.730155561,1.324248252
Kira Lewis Jr.,498,235,0.726678731,-0.633058379,0.093620352
Damian Lillard,4380,2107,9.282637307,-1.466140133,7.816497175
Nassir Little,2024,976,-1.862641645,-2.857981824,-4.720623469
Isaiah Livers,2485,1199,-2.35214938,0.155241355,-2.196908025
Kenneth Lofton Jr.,393,188,-0.842618325,-5.817700803,-6.660319128
Kevon Looney,4890,2283,1.243693703,2.652139715,3.895833418
Brook Lopez,5475,2555,-0.732841548,4.953425735,4.220584187
Robin Lopez,633,305,-3.606880753,-1.880097622,-5.486978375
Kevin Love,3298,1599,-0.411267349,1.323224717,0.911957368
Kyle Lowry,4659,2317,1.031706461,0.296250952,1.327957413
Trey Lyles,2933,1365,-0.059182333,-0.519694193,-0.578876526
Theo Maledon,1821,854,-1.165137245,-1.469846062,-2.634983306
Sandro Mamukelashvili,1407,660,-2.6039494,-3.058788825,-5.662738225
Terance Mann,4137,2005,0.255800562,-0.603907281,-0.348106719
Tre Mann,2533,1183,-1.675095472,-0.617020714,-2.292116186
Boban Marjanovic,357,171,0.872592544,1.65467475,2.527267294
Lauri Markkanen,4786,2273,3.505799109,1.025140262,4.530939371
Naji Marshall,3774,1792,-0.94622205,-0.545914581,-1.492136631
Caleb Martin,5599,2771,-0.97383965,1.451848322,0.478008672
Cody Martin,291,134,-0.429759154,-2.367846922,-2.797606076
Kenyon Martin Jr.,4848,2292,-0.865847669,-3.217634371,-4.08348204
Tyrese Martin,137,66,-4.7609759,-4.819415115,-9.580391016
Garrison Mathews,1458,686,-0.690315954,3.673894142,2.983578188
Bennedict Mathurin,4780,2222,-0.92954784,-1.470976098,-2.400523937
